,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2552,2024,SE,FT,Data Engineer,169900,USD,169900,US,remote,US,M
2553,2024,SE,FT,Data Engineer,135920,USD,135920,US,remote,US,M
2556,2024,SE,FT,Data Science,240000,USD,240000,US,on site,US,M
2557,2024,SE,FT,Data Science,204000,USD,204000,US,on site,US,M
2559,2024,SE,FT,Data Scientist,123000,USD,123000,US,on site,US,M
2560,2024,MI,FT,Data Science,170000,USD,170000,US,on site,US,M
2561,2024,MI,FT,Data Science,140000,USD,140000,US,on site,US,M
2562,2024,SE,FT,AI Engineer,90000,USD,90000,AE,on site,AE,L
2563,2024,SE,FT,ML Engineer,180500,USD,180500,US,on site,US,M
2564,2024,SE,FT,ML Engineer,96200,USD,96200,US,on site,US,M
2565,2024,SE,FT,ML Engineer,235000,USD,235000,AU,on site,AU,M
2566,2024,SE,FT,ML Engineer,175000,USD,175000,AU,on site,AU,M
2567,2024,MI,FT,Business Intelligence Developer,95413,USD,95413,US,remote,US,M
2568,2024,MI,FT,Business Intelligence Developer,70692,USD,70692,US,remote,US,M
2569,2024,SE,FT,Data Engineer,110000,USD,110000,UA,on site,UA,M
2570,2024,SE,FT,Data Engineer,48000,USD,48000,UA,on site,UA,M
2571,2024,SE,FT,Data Scientist,222300,USD,222300,US,on site,US,M
2572,2024,SE,FT,Data Scientist,119700,USD,119700,US,on site,US,M
2573,2024,SE,FT,Cloud Database Engineer,170375,USD,170375,US,remote,US,M
2574,2024,SE,FT,Cloud Database Engineer,102500,USD,102500,US,remote,US,M
2575,2024,SE,FT,Data Engineer,270000,USD,270000,AU,on site,AU,M
2576,2024,SE,FT,Data Engineer,190000,USD,190000,AU,on site,AU,M
2577,2024,MI,FT,Data Engineer,98000,USD,98000,US,on site,US,M
2578,2024,MI,FT,Data Engineer,68300,USD,68300,US,on site,US,M
2579,2024,MI,FT,ML Engineer,223100,USD,223100,US,remote,US,M
2580,2024,MI,FT,ML Engineer,126400,USD,126400,US,remote,US,M
2581,2024,SE,FT,Data Engineer,283800,USD,283800,US,remote,US,M
2582,2024,SE,FT,Data Engineer,198900,USD,198900,US,remote,US,M
2583,2024,MI,FT,Research Engineer,166000,USD,166000,US,on site,US,M
2584,2024,MI,FT,Research Engineer,73000,USD,73000,US,on site,US,M
2585,2024,EN,FT,Data Analyst,130000,USD,130000,US,on site,US,M
2589,2024,SE,FT,Research Engineer,234000,USD,234000,US,on site,US,M
2590,2024,SE,FT,Research Engineer,146000,USD,146000,US,on site,US,M
2591,2024,EN,FT,Data Analyst,39600,EUR,44000,LT,on site,LT,M
2592,2024,EN,FT,Data Analyst,33600,EUR,37333,LT,on site,LT,M
2593,2024,SE,FT,Data Engineer,275000,USD,275000,US,remote,US,M
2595,2024,SE,FT,Data Engineer,204000,USD,204000,US,on site,US,M
2596,2024,SE,FT,Data Engineer,163200,USD,163200,US,on site,US,M
2600,2024,SE,FT,ML Engineer,170000,USD,170000,US,remote,US,M
2601,2024,MI,FT,Data Engineer,210000,USD,210000,US,on site,US,M
2603,2024,MI,FT,Data Scientist,136000,USD,136000,US,on site,US,M
2609,2024,SE,FT,Data Analyst,175000,USD,175000,US,on site,US,M
2611,2024,SE,FT,Data Engineer,205500,USD,205500,US,remote,US,M
2613,2024,SE,FT,Data Engineer,146000,USD,146000,US,on site,US,M
2614,2024,SE,FT,Data Engineer,82500,USD,82500,US,on site,US,M
2617,2024,SE,FT,Data Analyst,157500,USD,157500,US,remote,US,M
2618,2024,SE,FT,Data Analyst,132500,USD,132500,US,remote,US,M
2619,2024,SE,FT,Data Engineer,209943,USD,209943,US,on site,US,M
2620,2024,SE,FT,Data Engineer,155175,USD,155175,US,on site,US,M
2621,2024,SE,FT,Data Scientist,244800,USD,244800,US,on site,US,M
